City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ati,100,TD,1561607077,64,18.34,18.34,78.71,24.92
Belmonte,0,PT,1561607077,72,-7.35,-7.35,61.0,1.72
Castro,75,CL,1561607050,93,-73.76,-73.76,46.4,9.17
Mnogovershinnyy,0,RU,1561607078,50,139.92,139.92,59.27,8.25
Hambantota,40,LK,1561607078,84,81.12,81.12,86.0,17.22
Salekhard,68,RU,1561607078,51,66.62,66.62,51.71,4.47
Lata,0,IN,1561607078,52,78.62,78.62,45.41,5.3
Taquarituba,100,BR,1561607078,90,-49.25,-49.25,64.13,4.36
Bethel,90,US,1561607079,68,-161.76,-161.76,68.0,16.11
Antofagasta,90,CL,1561606941,76,-70.4,-70.4,55.4,1.12
Mar del Plata,68,AR,1561607079,94,-67.52,-67.52,33.53,14.14
Avarua,22,CK,1561606995,73,-159.78,-159.78,75.2,5.82
Vao,100,EE,1561607080,98,26.19,26.19,54.77,0.18
Goderich,2,CA,1561607080,78,-81.71,-81.71,66.99,4.0
Cayenne,98,GF,1561607080,94,-52.33,-52.33,75.2,3.42
Ponta do Sol,80,BR,1561607081,58,-46.0,-46.0,66.65,2.68
Upernavik,0,GL,1561607081,89,-56.15,-56.15,33.89,9.28
Barrow,93,AR,1561607081,38,-60.23,-60.23,49.73,20.76
Elbrus,0,RU,1561607081,72,42.65,42.65,50.81,1.57
Balikpapan,11,ID,1561607082,65,116.86,116.86,83.57,5.37
Benguela,8,AO,1561607082,82,13.4,13.4,69.35,10.58
Hilo,90,US,1561607070,65,-155.08,-155.08,82.4,13.87
Poum,0,MK,1561607082,82,20.71,20.71,62.6,5.82
Georgetown,20,GY,1561606886,94,-58.16,-58.16,75.2,4.7
Nanortalik,99,GL,1561607083,99,-45.24,-45.24,36.77,9.37
Cabra,19,ES,1561607083,73,-4.43,-4.43,71.6,3.36
Anadyr,90,RU,1561607083,87,177.51,177.51,51.8,20.13
Samarai,47,PG,1561607084,79,150.67,150.67,80.15,7.67
Ottumwa,20,US,1561606869,88,-92.41,-92.41,78.8,4.7
Awjilah,0,LY,1561606864,60,21.3,21.3,77.81,12.12
Aksu,75,KZ,1561607084,83,76.93,76.93,69.8,13.42
Lasa,0,CY,1561607084,88,32.53,32.53,75.2,11.41
Faanui,0,PF,1561607085,69,-151.75,-151.75,80.69,2.39
Clinton,1,US,1561606938,94,-72.53,-72.53,75.2,3.38
Careiro da Varzea,0,BR,1561607085,78,-59.81,-59.81,80.6,3.36
Leningradskiy,99,RU,1561607085,81,178.42,178.42,35.33,11.03
Bondo,100,CD,1561607085,98,23.69,23.69,66.83,0.4
San Juan Bautista,0,PY,1561607086,73,-57.15,-57.15,43.97,5.84
Ahipara,1,NZ,1561607086,100,173.16,173.16,60.01,15.99
Porto Novo,20,BR,1561607086,93,-45.44,-45.44,62.6,1.12
Kemin,0,KG,1561607086,35,75.7,75.7,69.89,0.98
Bathsheba,40,BB,1561607087,74,-59.52,-59.52,80.6,20.8
Provideniya,90,RU,1561607087,87,-173.23,-173.23,51.8,11.18
Kysyl-Syr,0,RU,1561607087,46,122.77,122.77,74.39,4.34
Dikson,85,RU,1561607087,93,80.55,80.55,34.07,16.11
Hamilton,20,CA,1561607033,72,-79.87,-79.87,73.4,2.24
Gizo,0,IL,1561607088,56,34.94,34.94,73.99,4.7
Idrinskoye,100,RU,1561607088,93,92.14,92.14,56.57,1.83
Ancud,75,CL,1561607088,93,-73.83,-73.83,46.4,9.17
Saldanha,0,PT,1561607088,76,-6.55,-6.55,62.51,0.78
Kaitangata,0,NZ,1561607088,58,169.85,169.85,55.0,11.01
Hofn,88,IS,1561607089,92,-15.21,-15.21,44.15,11.74
Sioux Lookout,40,CA,1561607089,87,-91.92,-91.92,66.2,3.36
Kondopoga,100,RU,1561607089,76,34.27,34.27,55.4,2.24
Motygino,0,RU,1561607090,29,94.69,94.69,83.75,3.71
Dakar,20,SN,1561607090,88,-17.45,-17.45,78.8,4.7
Kapaa,75,US,1561607090,78,-159.32,-159.32,80.6,11.41
Genhe,100,CN,1561607090,40,121.52,121.52,65.39,10.42
Nabire,100,ID,1561607090,69,135.5,135.5,80.87,5.26
Maragogi,100,BR,1561607091,97,-35.22,-35.22,70.79,1.52
Gazanjyk,41,TM,1561607091,25,55.52,55.52,91.31,8.84
Les Trois-Ilets,38,MQ,1561607091,88,-61.04,-61.04,79.0,16.11
Chokurdakh,0,RU,1561607091,31,147.9,147.9,67.19,15.48
Aragarcas,0,BR,1561607091,61,-52.25,-52.25,66.11,1.7
Porbandar,75,IN,1561607092,74,69.61,69.61,86.0,9.17
Kargil,0,PK,1561607092,41,76.13,76.13,44.15,2.26
Itarema,0,BR,1561607092,94,-39.92,-39.92,72.41,5.48
Payo,24,ID,1561607092,60,103.64,103.64,80.51,3.74
Touros,20,BR,1561607092,94,-35.46,-35.46,73.4,4.7
Hami,0,CN,1561607093,17,93.51,93.51,76.91,12.84
Ferme-Neuve,68,CA,1561607093,97,-75.45,-75.45,58.55,3.53
Sao Gabriel da Cachoeira,11,BR,1561607093,98,-67.09,-67.09,72.95,2.73
Sitka,67,US,1561607093,68,-99.65,-99.65,78.01,13.0
Hasaki,75,JP,1561607094,66,140.83,140.83,84.2,16.11
Ambon,0,FR,1561607094,94,-2.56,-2.56,73.99,13.87
Pisco,90,PE,1561607086,87,-76.2,-76.2,61.0,2.24
Mocuba,0,MZ,1561607094,97,36.99,36.99,56.57,4.03
Campos,0,PT,1561607094,93,-8.7,-8.7,63.0,1.12
Taoudenni,0,ML,1561607095,8,-3.98,-3.98,94.73,9.93
Mount Isa,25,AU,1561606902,31,139.49,139.49,77.0,10.29
Deputatskiy,2,RU,1561607095,24,139.9,139.9,74.75,10.0
Kununurra,82,AU,1561607095,12,128.74,128.74,80.6,12.75
Dhemaji,90,IN,1561607095,94,94.56,94.56,78.8,2.24
Khomeyn,0,IR,1561607096,21,50.08,50.08,71.69,7.18
Dawei,100,MM,1561607096,81,98.19,98.19,83.21,24.32
Baruun-Urt,97,MN,1561607096,41,113.28,113.28,76.91,21.99
San Felix,40,CO,1561607096,93,-75.61,-75.61,62.6,3.36
Naze,100,NG,1561607081,98,7.07,7.07,72.23,4.18
San Patricio,0,PY,1561607097,80,-56.83,-56.83,42.53,5.35
Kenora,20,CA,1561607008,46,-94.48,-94.48,71.6,5.82
Tiznit,12,MA,1561607097,91,-9.73,-9.73,66.65,19.06
Luba,99,PH,1561607097,66,120.7,120.7,86.09,4.81
Margate,0,AU,1561607097,58,147.26,147.26,59.0,13.87
Jinxiang,82,CN,1561607097,43,116.31,116.31,87.17,7.0
Alta Floresta,60,BR,1561607098,66,-56.08,-56.08,72.95,2.53
Paramirim,0,BR,1561607098,72,-42.24,-42.24,62.69,3.11
Praia da Vitoria,75,PT,1561607098,77,-27.07,-27.07,63.0,16.11
Eydhafushi,73,MV,1561607098,76,73.07,73.07,83.21,8.77
Sibolga,100,ID,1561607098,75,98.78,98.78,81.77,5.79
Sokoni,0,CD,1561607099,92,28.78,28.78,49.01,4.38
Te Anau,0,NZ,1561607099,76,167.72,167.72,47.21,4.14
Rena,0,ES,1561607099,70,-5.81,-5.81,66.99,3.0
Inta,100,RU,1561607099,75,60.13,60.13,52.61,9.78
Ginda,0,IN,1561607100,37,78.49,78.49,75.47,1.9
Camacupa,0,AO,1561607100,47,17.48,17.48,50.27,1.7
Airai,99,TL,1561607053,44,125.41,125.41,82.13,1.88
Tymovskoye,98,RU,1561607100,61,142.66,142.66,54.95,6.33
Calvinia,0,ZA,1561607100,48,19.78,19.78,46.31,9.53
Port Lincoln,39,AU,1561607101,66,135.86,135.86,62.33,24.52
Alyangula,75,AU,1561607101,51,136.42,136.42,82.4,8.05
Salinopolis,16,BR,1561607061,79,-47.36,-47.36,82.13,14.2
Saint Anthony,1,US,1561606874,33,-111.68,-111.68,75.2,5.82
Aklavik,75,CA,1561607101,46,-135.01,-135.01,50.0,5.82
Vaitape,0,PF,1561607101,69,-151.75,-151.75,80.69,2.39
Tuchkovo,40,RU,1561607102,87,36.47,36.47,57.2,6.71
Nikolskoye,0,RU,1561607102,82,30.79,30.79,60.01,2.24
Thompson,40,CA,1561607102,87,-97.86,-97.86,55.4,3.36
Haikou,0,CN,1561607103,66,110.34,110.34,91.4,6.71
Kieta,100,PG,1561607103,68,155.63,155.63,84.47,7.63
Providencia,61,CO,1561607103,91,-77.6,-77.6,55.67,2.57
La Rioja,20,AR,1561607104,48,-66.86,-66.86,40.91,1.57
Basar,90,IN,1561607104,94,94.69,94.69,78.8,2.24
Narsaq,90,GL,1561607105,93,-46.05,-46.05,46.4,8.05
Kailua,20,US,1561607105,74,-157.74,-157.74,82.4,6.93
Zhigansk,0,RU,1561607105,36,123.37,123.37,79.25,6.44
Hargeysa,10,SO,1561606873,71,44.06,44.06,68.81,29.12
Bilibino,82,RU,1561607105,42,166.44,166.44,60.17,16.73
Waipawa,0,NZ,1561607007,86,176.59,176.59,46.0,1.99
Sungai Padi,75,TH,1561607106,70,101.88,101.88,87.8,3.36
Arraial do Cabo,0,BR,1561607036,88,-42.02,-42.02,71.6,4.7
Matara,68,BI,1561607106,87,29.48,29.48,50.99,1.23
East Stroudsburg,1,US,1561607107,100,-75.18,-75.18,73.0,4.23
Chapais,75,CA,1561607107,93,-74.86,-74.86,59.0,5.82
Saint-Georges,100,CA,1561606927,100,-70.67,-70.67,66.99,3.0
La Asuncion,0,AR,1561607108,47,-65.39,-65.39,43.97,4.41
Salalah,90,OM,1561607108,100,54.1,54.1,80.6,6.93
Nome,1,US,1561607108,83,-94.42,-94.42,82.99,3.36
Soubre,100,CI,1561607108,97,-6.61,-6.61,71.33,2.62
Itigi,19,TZ,1561607109,74,34.5,34.5,59.99,6.11
Lambarene,30,GA,1561607109,90,10.22,10.22,68.27,1.83
Krasnoborsk,1,RU,1561607109,58,45.93,45.93,53.15,0.94
General Roca,20,AR,1561607109,69,-67.58,-67.58,55.4,17.22
Alice Springs,74,AU,1561607109,29,133.88,133.88,66.2,5.82
Ibra,1,OM,1561607110,67,58.55,58.55,78.53,2.95
Belaya Gora,5,RU,1561607110,17,146.19,146.19,74.03,14.09
Bikin,100,RU,1561607110,97,134.25,134.25,54.05,2.8
Huainan,99,CN,1561607110,53,117.01,117.01,85.91,6.69
Norsup,75,VU,1561607110,79,167.38,167.38,84.2,9.17
Chapeco,83,BR,1561607111,86,-52.62,-52.62,51.17,0.72
Bandarbeyla,23,SO,1561607111,60,50.81,50.81,79.61,27.6
Trinidad,6,BO,1561607111,86,-64.9,-64.9,57.65,3.4
Ormara,10,PK,1561607112,74,64.64,64.64,83.57,14.63
Lubao,43,CD,1561607112,46,25.75,25.75,69.89,4.68
Hithadhoo,34,MV,1561607044,75,73.08,73.08,83.39,10.36
Olpad,40,IN,1561607112,74,72.75,72.75,86.0,4.7
Ustye,97,RU,1561607112,90,27.79,27.79,54.59,11.99
Vestmannaeyjar,100,IS,1561607112,97,-20.27,-20.27,52.61,17.18
Oriximina,100,BR,1561607113,81,-55.87,-55.87,78.71,7.7
Dauphin,1,CA,1561607113,72,-100.04,-100.04,64.4,3.36
Cabo San Lucas,5,MX,1561607080,25,-109.91,-109.91,91.4,10.29
Santo Antonio do Leverger,0,BR,1561607114,83,-56.08,-56.08,71.6,3.36
Tiksi,0,RU,1561607081,33,128.87,128.87,72.77,12.71
Luncavita,0,RO,1561607114,82,28.27,28.27,66.2,2.24
Miraflores,26,CO,1561607115,97,-73.14,-73.14,51.35,2.95
Vydrino,100,RU,1561607115,39,104.64,104.64,51.01,2.64
Cockburn Town,100,TC,1561607027,80,-71.14,-71.14,81.95,18.66
Bambous Virieux,75,MU,1561607116,94,57.76,57.76,75.0,16.11
Novyy Urengoy,94,RU,1561607116,57,76.63,76.63,51.71,15.03
Dicabisagan,35,PH,1561607116,67,122.42,122.42,87.17,3.04
Sampit,36,ID,1561607104,85,112.95,112.95,82.31,4.27
Brigantine,1,US,1561607116,75,-74.36,-74.36,78.01,5.28
Barkly West,0,ZA,1561607117,76,24.52,24.52,48.2,4.7
Saint-Philippe,1,CA,1561607117,88,-73.48,-73.48,70.0,8.05
Inuvik,75,CA,1561607117,37,-133.71,-133.71,50.0,5.82
Cochabamba,0,BO,1561607118,53,-66.16,-66.16,50.0,9.84
Kavali,100,IN,1561607118,64,79.99,79.99,84.29,10.2
Cowra,0,AU,1561607119,65,148.69,148.69,55.99,1.01
Visnes,100,NO,1561607119,81,5.22,5.22,53.6,8.05
Severo-Kurilsk,100,RU,1561607119,96,156.12,156.12,40.55,17.54
Kumsi,100,IN,1561607119,84,75.4,75.4,74.93,7.78
Awallan,73,PH,1561607119,59,121.91,121.91,88.97,4.61
Tonantins,100,BR,1561607120,97,-67.77,-67.77,72.77,2.19
Livingston,1,US,1561607120,94,-88.19,-88.19,84.0,1.25
Caravelas,9,BR,1561607040,85,-39.27,-39.27,73.49,6.11
Araceli,92,PH,1561607121,79,119.99,119.99,84.11,4.74
Flin Flon,52,CA,1561607121,70,-101.88,-101.88,57.47,3.69
Okhotsk,11,RU,1561607122,30,143.24,143.24,78.71,13.67
Chesma,100,RU,1561607122,85,60.65,60.65,53.87,4.85
Aswan,0,EG,1561607122,11,32.9,32.9,92.03,9.1
Dubbo,0,AU,1561607122,45,148.6,148.6,66.2,14.99
Jacareacanga,100,BR,1561607122,68,-57.76,-57.76,75.11,2.75
Mount Pleasant,1,US,1561607123,93,-87.85,-87.85,75.2,4.21
Pangnirtung,3,CA,1561607123,68,-65.72,-65.72,46.85,4.63
Namibe,37,AO,1561607049,78,12.15,12.15,63.95,9.19
Lembeni,100,TZ,1561607124,92,37.62,37.62,64.85,10.31
Imbituba,75,BR,1561606897,67,-48.67,-48.67,57.2,9.17
Santa Vitoria do Palmar,0,BR,1561606961,76,-53.37,-53.37,44.69,6.93
Rockhampton,75,AU,1561607124,60,150.51,150.51,73.4,17.22
Port Hedland,32,AU,1561607124,78,118.58,118.58,71.6,8.05
Lakota,96,CI,1561607125,98,-5.68,-5.68,70.61,3.09
Hirara,75,JP,1561607125,88,125.28,125.28,82.4,18.34
Saskylakh,69,RU,1561607071,54,114.09,114.09,57.65,15.86
Saint-Pierre,0,FR,1561607125,94,4.24,4.24,75.2,10.29
Longyearbyen,75,NO,1561607126,86,15.63,15.63,39.2,13.87
Buritizeiro,0,BR,1561607126,57,-44.96,-44.96,63.05,0.78
Kahului,40,US,1561607055,55,-156.47,-156.47,87.8,9.17
La Ronge,75,CA,1561607126,72,-105.3,-105.3,60.8,3.36
Sainte-Marie,90,CA,1561607127,72,-71.03,-71.03,68.0,12.75
Seoul,1,KR,1561606564,54,126.98,126.98,86.0,2.24
Brae,98,GB,1561607127,93,-1.35,-1.35,50.0,10.29
Cedar City,1,US,1561607116,17,-113.06,-113.06,71.6,8.05
Murray Bridge,0,AU,1561607127,49,139.28,139.28,69.01,4.0
At-Bashi,0,KG,1561607067,95,75.81,75.81,66.0,3.87
Tripoli,0,GR,1561607128,82,22.37,22.37,75.99,4.38
Payson,1,US,1561607128,34,-111.73,-111.73,81.0,11.41
Nemuro,75,JP,1561607128,68,145.57,145.57,71.6,11.41
Taleigao,90,IN,1561607128,83,73.8,73.8,80.6,10.29
Trelew,0,AR,1561607128,53,-65.31,-65.31,46.49,20.0
Preobrazheniye,88,RU,1561607129,62,133.91,133.91,69.71,7.85
East London,0,ZA,1561607129,93,27.91,27.91,59.0,8.05
Lyngseidet,75,NO,1561607129,75,20.21,20.21,44.6,41.38
Inirida,100,CO,1561607129,95,-67.92,-67.92,73.85,1.57
Klaksvik,49,FO,1561607083,100,-6.59,-6.59,50.0,9.17
Gambela,57,ET,1561607130,91,34.59,34.59,66.29,3.71
Gold Coast,75,AU,1561607130,68,153.41,153.41,73.0,20.8
Dingle,100,PH,1561607130,78,122.67,122.67,81.41,9.86
Aguada de Pasajeros,0,CU,1561607130,78,-80.85,-80.85,78.8,5.82
Kloulklubed,100,PW,1561607130,89,134.26,134.26,79.79,14.54
Kodiak,1,US,1561607048,73,-94.76,-94.76,79.0,4.7
Ribeira Grande,80,PT,1561607131,77,-28.7,-28.7,64.13,16.13
Iquitos,75,PE,1561607131,94,-73.25,-73.25,75.2,2.24
Sobolevo,100,RU,1561607132,98,31.9,31.9,66.47,8.86
Muravlenko,39,RU,1561607132,49,74.5,74.5,54.05,16.31
Meadow Lake,26,CA,1561607132,71,-108.44,-108.44,60.71,4.14
Nelson Bay,75,AU,1561607132,77,152.14,152.14,66.99,10.29
Svarstad,69,NO,1561607132,76,9.97,9.97,57.99,11.41
Atar,0,MR,1561607133,17,-13.05,-13.05,91.49,15.32
Quatre Cocos,75,MU,1561607133,94,57.76,57.76,75.0,16.11
Talnakh,100,RU,1561607133,57,88.39,88.39,48.2,8.95
Praia,0,BR,1561607133,72,-43.81,-43.81,66.2,2.62
Cidreira,0,BR,1561607134,61,-50.22,-50.22,45.77,0.72
Ambulu,43,ID,1561607134,75,113.61,113.61,76.55,12.12
Puerto Narino,20,CO,1561607134,100,-70.38,-70.38,75.2,1.21
Rocha,22,UY,1561607134,73,-54.34,-54.34,43.79,10.0
Barra dos Coqueiros,20,BR,1561607135,69,-37.04,-37.04,80.6,11.41
Kaeo,56,NZ,1561607135,72,173.78,173.78,60.01,8.99
Tazovskiy,100,RU,1561607063,69,78.7,78.7,44.15,12.03
Isangel,90,VU,1561607048,88,169.27,169.27,78.8,4.7
Kawalu,88,ID,1561607111,80,108.21,108.21,73.67,4.81
Megion,90,RU,1561607136,93,76.11,76.11,50.0,8.95
Acapulco,75,MX,1561607062,79,-99.88,-99.88,84.2,3.36
Ocos,75,GT,1561607136,94,-92.19,-92.19,78.8,0.98
Rila,20,BG,1561607136,93,23.13,23.13,62.01,2.24
Meulaboh,0,ID,1561607136,73,96.13,96.13,81.77,3.62
Kavieng,96,PG,1561607136,71,150.8,150.8,85.01,10.94
Banda Aceh,98,ID,1561607137,75,95.32,95.32,83.75,14.09
Panorama,81,BR,1561607137,96,-51.86,-51.86,66.29,2.73
Nizhniy Kuranakh,9,RU,1561607137,42,125.49,125.49,70.97,6.31
Griffith,0,AU,1561607137,63,146.06,146.06,62.6,9.17
Gamba,19,CN,1561607138,50,88.52,88.52,49.19,5.82
Mezen,100,RU,1561607121,78,44.24,44.24,53.51,8.05
Jingdezhen,66,CN,1561607138,60,117.2,117.2,87.89,2.95
Paranga,100,KE,1561607139,85,38.4,38.4,65.39,6.08
Harper,1,US,1561607139,78,-99.24,-99.24,77.0,4.7
Cassia,1,US,1561607139,73,-81.47,-81.47,84.0,3.78
Sakaiminato,75,JP,1561606944,83,133.23,133.23,78.8,10.29
Dahod,98,IN,1561607139,78,74.26,74.26,83.21,10.89
Aras,19,ES,1561607140,44,-2.36,-2.36,78.01,11.41
Sikeston,40,US,1561607059,94,-89.59,-89.59,72.0,13.87
Palmer,0,AU,1561607038,37,139.16,139.16,70.0,19.46
Bennettsville,1,US,1561607140,94,-79.68,-79.68,75.99,1.34
Byron Bay,40,AU,1561607140,68,153.62,153.62,71.6,16.11
Ankola,78,IN,1561607141,82,74.3,74.3,82.85,18.43
Suez,0,EG,1561607141,64,32.54,32.54,73.31,6.6
Moyale,56,ET,1561607142,80,39.05,39.05,66.65,6.82
Mao,40,DO,1561607142,94,-71.08,-71.08,80.01,6.93
Ostrovnoy,100,RU,1561607142,78,39.51,39.51,51.35,12.44
Impfondo,95,CD,1561606929,95,18.06,18.06,69.71,1.5
Saint-Joseph,0,FR,1561607142,78,6.97,6.97,82.0,4.7
Emerald,90,AU,1561607144,60,148.16,148.16,71.6,11.41
Hualmay,2,PE,1561607119,87,-77.61,-77.61,62.51,12.93
Winnemucca,1,US,1561606971,17,-117.74,-117.74,73.4,9.17
Marzuq,100,YE,1561607144,19,46.47,46.47,79.61,2.35
Nakamura,75,JP,1561607144,88,136.87,136.87,78.01,13.87
Namatanai,66,PG,1561607145,74,152.44,152.44,82.67,11.36
Sao Joao Evangelista,10,BR,1561607146,91,-42.76,-42.76,59.27,1.95
Varhaug,75,NO,1561607146,81,5.65,5.65,53.6,10.29
Kepno,0,PL,1561607146,70,17.99,17.99,72.0,1.99
Kaduy,0,RU,1561607146,87,37.15,37.15,50.0,2.24
Lavrentiya,100,RU,1561607146,97,-170.99,-170.99,47.21,5.73
Luderitz,0,NA,1561607148,100,15.16,15.16,48.2,3.36
Kresttsy,100,RU,1561607148,76,32.52,32.52,54.05,5.01
Oistins,40,BB,1561606874,74,-59.53,-59.53,80.6,20.8
Khatanga,0,RU,1561607149,33,102.47,102.47,57.11,7.4
Toamasina,75,MG,1561607149,94,49.38,49.38,68.0,8.05
New Glasgow,100,CA,1561607149,77,-62.65,-62.65,57.0,3.44
Esperance,75,AU,1561607114,63,121.89,121.89,60.8,23.04
Sohag,0,EG,1561607149,20,31.7,31.7,82.85,7.16
Krasnoshchekovo,0,RU,1561607149,61,82.73,82.73,68.09,4.65
Guanica,1,PR,1561607150,88,-66.91,-66.91,81.0,8.05
Zhezkazgan,75,KZ,1561607150,60,67.71,67.71,71.6,6.71
Bouar,96,CF,1561607144,98,15.59,15.59,64.49,1.3
Umba,99,RU,1561607050,62,34.34,34.34,56.03,6.53
Binga,1,ZW,1561607150,67,27.34,27.34,55.67,3.47
Saint-Leu,0,RE,1561607152,83,55.28,55.28,71.6,9.17
Kandrian,92,PG,1561607152,71,149.55,149.55,83.75,10.25
Maniitsoq,74,GL,1561607117,78,-52.9,-52.9,47.39,5.82
North Bend,90,US,1561607152,93,-124.22,-124.22,59.0,9.17
Vilyuysk,6,RU,1561607153,39,121.63,121.63,76.19,5.08
Puro,100,PH,1561607153,83,123.76,123.76,81.59,11.52
